"Date","Price","Open","High","Low","Change %"
"Sep 24, 2018","0.509","0.460","0.514","0.451","10.41%"
"Sep 21, 2018","0.461","0.477","0.485","0.454","-2.33%"
"Sep 20, 2018","0.472","0.480","0.506","0.472","-3.48%"
"Sep 19, 2018","0.489","0.485","0.502","0.470","1.45%"
"Sep 18, 2018","0.482","0.455","0.485","0.442","5.24%"
"Sep 17, 2018","0.458","0.442","0.473","0.440","10.63%"
"Sep 16, 2018","0.414","0.415","0.416","0.409","-6.97%"
"Sep 14, 2018","0.445","0.424","0.460","0.421","4.95%"
"Sep 13, 2018","0.424","0.409","0.443","0.402","3.67%"
"Sep 12, 2018","0.409","0.430","0.432","0.398","-4.88%"
"Sep 11, 2018","0.430","0.410","0.441","0.406","6.70%"
"Sep 10, 2018","0.403","0.387","0.417","0.375","3.07%"
"Sep 07, 2018","0.391","0.358","0.396","0.351","9.83%"
"Sep 06, 2018","0.356","0.388","0.391","0.349","-6.81%"
"Sep 05, 2018","0.382","0.356","0.401","0.345","6.11%"
"Sep 04, 2018","0.360","0.339","0.363","0.333","6.82%"
"Sep 03, 2018","0.337","0.341","0.347","0.314","1.81%"
"Aug 31, 2018","0.331","0.357","0.364","0.328","-4.34%"
"Aug 30, 2018","0.346","0.405","0.412","0.345","-14.78%"
"Aug 29, 2018","0.406","0.382","0.414","0.373","6.56%"
"Aug 28, 2018","0.381","0.373","0.397","0.359","0.79%"
"Aug 27, 2018","0.378","0.338","0.382","0.324","8.00%"
"Aug 25, 2018","0.350","0.350","0.350","0.350","1.74%"
"Aug 24, 2018","0.344","0.347","0.364","0.338","0.88%"
"Aug 23, 2018","0.341","0.339","0.356","0.337","-1.16%"
"Aug 22, 2018","0.345","0.324","0.357","0.319","2.99%"
"Aug 21, 2018","0.335","0.310","0.335","0.300","9.48%"
"Aug 20, 2018","0.306","0.302","0.320","0.298","-1.92%"
"Aug 18, 2018","0.312","0.312","0.312","0.312","1.96%"
"Aug 17, 2018","0.306","0.312","0.318","0.287","-4.37%"
"Aug 16, 2018","0.320","0.313","0.322","0.301","4.92%"
"Aug 15, 2018","0.305","0.324","0.339","0.290","-7.01%"
"Aug 14, 2018","0.328","0.323","0.339","0.316","4.79%"
"Aug 13, 2018","0.313","0.318","0.331","0.301","-2.49%"
"Aug 10, 2018","0.321","0.360","0.360","0.316","-14.85%"
"Aug 09, 2018","0.377","0.398","0.401","0.372","-5.51%"
"Aug 08, 2018","0.399","0.409","0.419","0.396","-2.68%"
"Aug 07, 2018","0.410","0.400","0.417","0.387","4.59%"
"Aug 06, 2018","0.392","0.414","0.427","0.386","-3.92%"
"Aug 04, 2018","0.408","0.408","0.408","0.408","-0.49%"
"Aug 03, 2018","0.410","0.452","0.460","0.406","-11.06%"
"Aug 02, 2018","0.461","0.475","0.482","0.446","-3.56%"
"Aug 01, 2018","0.478","0.455","0.495","0.455","7.42%"
"Jul 31, 2018","0.445","0.417","0.456","0.409","-0.45%"
"Jul 30, 2018","0.447","0.406","0.461","0.393","11.75%"
"Jul 28, 2018","0.400","0.400","0.400","0.400","-1.23%"
"Jul 27, 2018","0.405","0.413","0.418","0.397","-0.49%"
"Jul 26, 2018","0.407","0.420","0.424","0.389","2.78%"
"Jul 25, 2018","0.396","0.388","0.398","0.380","-0.50%"
"Jul 24, 2018","0.398","0.405","0.424","0.389","-2.45%"
"Jul 23, 2018","0.408","0.381","0.410","0.371","9.38%"
"Jul 20, 2018","0.373","0.332","0.377","0.313","12.35%"
"Jul 19, 2018","0.332","0.355","0.361","0.329","-3.21%"
"Jul 18, 2018","0.343","0.354","0.355","0.324","-0.87%"
"Jul 17, 2018","0.346","0.364","0.370","0.344","13.82%"
"Jul 16, 2018","0.304","0.282","0.316","0.280","7.04%"
"Jul 13, 2018","0.284","0.301","0.302","0.263","-4.05%"
"Jul 12, 2018","0.296","0.315","0.317","0.289","-4.82%"
"Jul 11, 2018","0.311","0.303","0.319","0.292","-2.51%"
"Jul 10, 2018","0.319","0.312","0.330","0.306","5.63%"
"Jul 09, 2018","0.302","0.297","0.324","0.295","2.03%"
"Jul 06, 2018","0.296","0.311","0.315","0.281","-0.34%"
"Jul 05, 2018","0.297","0.321","0.343","0.292","-2.94%"
"Jul 04, 2018","0.306","0.300","0.313","0.286","4.44%"
"Jul 03, 2018","0.293","0.316","0.331","0.289","-3.93%"
"Jul 02, 2018","0.305","0.302","0.315","0.284","0.66%"
"Jun 29, 2018","0.303","0.339","0.354","0.300","-5.02%"
"Jun 28, 2018","0.319","0.316","0.332","0.299","-1.54%"
"Jun 27, 2018","0.324","0.336","0.341","0.305","-5.26%"
"Jun 26, 2018","0.342","0.334","0.359","0.317","4.59%"
"Jun 25, 2018","0.327","0.319","0.343","0.304","-2.68%"
"Jun 23, 2018","0.336","0.336","0.336","0.336","0.00%"
"Jun 22, 2018","0.336","0.331","0.356","0.326","0.60%"
"Jun 21, 2018","0.334","0.388","0.388","0.317","-11.41%"
"Jun 20, 2018","0.377","0.384","0.388","0.362","1.07%"
"Jun 19, 2018","0.373","0.389","0.389","0.350","-6.75%"
"Jun 18, 2018","0.400","0.396","0.409","0.381","-0.50%"
"Jun 16, 2018","0.402","0.402","0.402","0.402","-0.25%"
"Jun 15, 2018","0.403","0.425","0.428","0.376","-6.50%"
"Jun 14, 2018","0.431","0.481","0.513","0.423","-10.95%"
"Jun 13, 2018","0.484","0.493","0.497","0.462","-1.22%"
"Jun 12, 2018","0.490","0.495","0.519","0.486","-0.81%"
"Jun 11, 2018","0.494","0.475","0.508","0.461","10.76%"
"Jun 08, 2018","0.446","0.451","0.462","0.397","-6.69%"
"Jun 07, 2018","0.478","0.483","0.517","0.478","3.02%"
"Jun 06, 2018","0.464","0.401","0.468","0.386","19.90%"
"Jun 05, 2018","0.387","0.418","0.418","0.361","-7.86%"
"Jun 04, 2018","0.420","0.391","0.424","0.382","9.09%"
"Jun 01, 2018","0.385","0.366","0.410","0.353","13.24%"
"May 31, 2018","0.340","0.357","0.412","0.322","-8.11%"
"May 30, 2018","0.370","0.290","0.373","0.282","43.97%"
"May 29, 2018","0.257","0.343","0.343","0.192","-25.51%"
"May 28, 2018","0.345","0.440","0.461","0.339","-15.02%"
"May 25, 2018","0.406","0.474","0.479","0.386","-13.62%"
"May 24, 2018","0.470","0.510","0.533","0.461","-7.11%"
"May 23, 2018","0.506","0.547","0.551","0.496","-9.64%"
"May 22, 2018","0.560","0.523","0.573","0.523","7.49%"
"May 21, 2018","0.521","0.581","0.581","0.518","-8.60%"
"May 20, 2018","0.570","0.570","0.570","0.570","-1.04%"
"May 18, 2018","0.576","0.637","0.639","0.573","-9.58%"
"May 17, 2018","0.637","0.636","0.647","0.598","5.12%"
"May 16, 2018","0.606","0.635","0.639","0.589","-6.34%"
"May 15, 2018","0.647","0.617","0.650","0.613","5.72%"
"May 14, 2018","0.612","0.557","0.619","0.551","9.48%"
"May 11, 2018","0.559","0.556","0.569","0.541","0.18%"
"May 10, 2018","0.558","0.557","0.565","0.533","-0.36%"
"May 09, 2018","0.560","0.567","0.586","0.558","-0.18%"
"May 08, 2018","0.561","0.532","0.565","0.528","5.85%"
"May 07, 2018","0.530","0.544","0.544","0.518","-2.75%"
"May 04, 2018","0.545","0.538","0.547","0.522","2.06%"
"May 03, 2018","0.534","0.578","0.592","0.525","-8.25%"
"May 02, 2018","0.582","0.571","0.590","0.568","3.56%"
"Apr 30, 2018","0.562","0.578","0.593","0.557","-1.40%"
"Apr 27, 2018","0.570","0.592","0.592","0.564","-4.20%"
"Apr 26, 2018","0.595","0.633","0.636","0.585","-6.00%"
"Apr 25, 2018","0.633","0.628","0.655","0.625","0.64%"
"Apr 24, 2018","0.629","0.626","0.655","0.610","-0.94%"
"Apr 23, 2018","0.635","0.613","0.639","0.610","7.63%"
"Apr 20, 2018","0.590","0.588","0.613","0.580","-1.34%"
"Apr 19, 2018","0.598","0.538","0.604","0.538","12.41%"
"Apr 18, 2018","0.532","0.513","0.535","0.496","4.93%"
"Apr 17, 2018","0.507","0.527","0.539","0.506","-3.24%"
"Apr 16, 2018","0.524","0.516","0.551","0.515","2.34%"
"Apr 14, 2018","0.512","0.511","0.512","0.511","0.20%"
"Apr 13, 2018","0.511","0.512","0.537","0.506","-0.78%"
"Apr 12, 2018","0.515","0.502","0.518","0.493","2.79%"
"Apr 11, 2018","0.501","0.515","0.516","0.483","-2.91%"
"Apr 10, 2018","0.516","0.507","0.529","0.488","2.18%"
"Apr 09, 2018","0.505","0.500","0.512","0.494","1.00%"
"Apr 06, 2018","0.500","0.516","0.520","0.492","-4.94%"
"Apr 05, 2018","0.526","0.510","0.538","0.508","4.78%"
"Apr 04, 2018","0.502","0.509","0.511","0.479","0.00%"
"Apr 03, 2018","0.502","0.480","0.521","0.479","1.62%"
