"Date","Price","Open","High","Low","Change %"
"Jul 10, 2018","2.966","2.966","2.974","2.955","0.00%"
"Jul 09, 2018","2.966","2.938","2.970","2.938","1.01%"
"Jul 08, 2018","2.936","2.937","2.937","2.935","0.18%"
"Jul 06, 2018","2.931","2.946","2.959","2.924","-0.54%"
"Jul 05, 2018","2.947","2.969","2.989","2.941","-0.68%"
"Jul 04, 2018","2.967","2.969","2.969","2.967","0.24%"
"Jul 03, 2018","2.960","2.993","3.008","2.958","-1.10%"
"Jul 02, 2018","2.993","2.991","2.997","2.966","0.05%"
"Jul 01, 2018","2.991","2.992","2.994","2.991","0.05%"
"Jun 29, 2018","2.990","2.971","2.998","2.954","0.78%"
"Jun 28, 2018","2.967","2.972","2.985","2.964","-0.07%"
"Jun 27, 2018","2.969","3.029","3.032","2.967","-1.82%"
"Jun 26, 2018","3.024","3.028","3.045","3.016","-0.10%"
"Jun 25, 2018","3.027","3.035","3.043","3.016","-0.22%"
"Jun 24, 2018","3.034","3.031","3.034","3.031","-0.11%"
"Jun 22, 2018","3.037","3.048","3.073","3.036","-0.20%"
"Jun 21, 2018","3.043","3.075","3.089","3.035","-1.01%"
"Jun 20, 2018","3.074","3.029","3.079","3.016","1.42%"
"Jun 19, 2018","3.031","3.028","3.036","2.991","-0.43%"
"Jun 18, 2018","3.044","3.046","3.063","3.029","-0.03%"
"Jun 17, 2018","3.045","3.045","3.045","3.045","-0.07%"
"Jun 15, 2018","3.047","3.058","3.058","3.013","-0.26%"
"Jun 14, 2018","3.055","3.086","3.089","3.046","-1.20%"
"Jun 13, 2018","3.092","3.093","3.122","3.079","-0.10%"
"Jun 12, 2018","3.095","3.098","3.118","3.087","0.06%"
"Jun 11, 2018","3.093","3.092","3.111","3.089","0.03%"
"Jun 10, 2018","3.092","3.089","3.094","3.086","0.03%"
"Jun 08, 2018","3.091","3.081","3.092","3.043","0.59%"
"Jun 07, 2018","3.073","3.126","3.152","3.043","-1.60%"
"Jun 06, 2018","3.123","3.086","3.137","3.079","1.33%"
"Jun 05, 2018","3.082","3.085","3.087","3.053","-0.10%"
"Jun 04, 2018","3.085","3.054","3.093","3.046","1.00%"
"Jun 03, 2018","3.055","3.049","3.055","3.049","0.11%"
"Jun 01, 2018","3.051","3.025","3.070","3.023","0.86%"
"May 31, 2018","3.025","3.019","3.047","2.984","0.00%"
"May 30, 2018","3.025","2.964","3.059","2.964","1.65%"
"May 29, 2018","2.976","3.069","3.078","2.954","-3.03%"
"May 28, 2018","3.069","3.090","3.090","3.065","-0.68%"
"May 25, 2018","3.090","3.125","3.143","3.080","-1.18%"
"May 24, 2018","3.127","3.161","3.174","3.115","-0.79%"
"May 23, 2018","3.152","3.201","3.211","3.148","-1.72%"
"May 22, 2018","3.207","3.198","3.220","3.189","0.19%"
"May 21, 2018","3.201","3.217","3.219","3.194","-0.45%"
"May 20, 2018","3.216","3.202","3.216","3.202","0.42%"
"May 18, 2018","3.202","3.251","3.264","3.198","-1.48%"
"May 17, 2018","3.250","3.216","3.256","3.212","0.84%"
"May 16, 2018","3.223","3.197","3.224","3.182","0.78%"
"May 15, 2018","3.198","3.133","3.225","3.127","2.11%"
"May 14, 2018","3.132","3.106","3.136","3.095","0.82%"
"May 13, 2018","3.106","3.102","3.107","3.102","0.15%"
"May 11, 2018","3.102","3.115","3.123","3.093","-0.23%"
"May 10, 2018","3.109","3.160","3.164","3.107","-1.71%"
"May 09, 2018","3.163","3.132","3.168","3.129","1.12%"
"May 08, 2018","3.128","3.121","3.149","3.113","0.16%"
"May 07, 2018","3.123","3.128","3.129","3.106","-0.18%"
"May 06, 2018","3.129","3.133","3.133","3.128","0.18%"
"May 04, 2018","3.123","3.125","3.139","3.089","0.00%"
"May 03, 2018","3.123","3.148","3.156","3.102","-0.89%"
"May 02, 2018","3.151","3.129","3.160","3.120","0.67%"
"May 01, 2018","3.130","3.125","3.147","3.111","0.19%"
"Apr 30, 2018","3.124","3.137","3.139","3.095","-0.10%"
"Apr 29, 2018","3.127","3.127","3.127","3.127","0.00%"
