Date,Price
"Mar 15, 2021",1730.05
"Mar 14, 2021",1723.75
"Mar 12, 2021",1719.8
"Mar 11, 2021",1722.6
"Mar 10, 2021",1721.8
"Mar 09, 2021",1716.9
"Mar 08, 2021",1678
"Mar 05, 2021",1698.5
"Mar 04, 2021",1700.7
"Mar 03, 2021",1715.8
"Mar 02, 2021",1733.6
"Mar 01, 2021",1723
"Feb 26, 2021",1728.8
"Feb 25, 2021",1775.4
"Feb 24, 2021",1797.9
"Feb 23, 2021",1805.9
"Feb 22, 2021",1808.4
"Feb 19, 2021",1777.4
"Feb 18, 2021",1775
"Feb 17, 2021",1772.8
"Feb 16, 2021",1799
"Feb 15, 2021",1818.75
"Feb 14, 2021",1821.05
"Feb 12, 2021",1823.2
"Feb 11, 2021",1826.8
"Feb 10, 2021",1842.7
"Feb 09, 2021",1837.5
"Feb 08, 2021",1834.2
"Feb 05, 2021",1813
"Feb 04, 2021",1791.2
"Feb 03, 2021",1835.1
"Feb 02, 2021",1833.4
"Feb 01, 2021",1863.9
"Jan 29, 2021",1850.3
"Jan 28, 2021",1841.2
"Jan 27, 2021",1848.9
"Jan 26, 2021",1854.8
"Jan 25, 2021",1859
"Jan 22, 2021",1856.2
"Jan 21, 2021",1865.9
"Jan 20, 2021",1866.5
"Jan 19, 2021",1840.2
"Jan 18, 2021",1836.6
"Jan 17, 2021",1809.75
"Jan 15, 2021",1829.9
"Jan 14, 2021",1851.4
"Jan 13, 2021",1854.9
"Jan 12, 2021",1844.2
"Jan 11, 2021",1850.8
"Jan 08, 2021",1835.4
"Jan 07, 2021",1913.6
"Jan 06, 2021",1908.6
"Jan 05, 2021",1954.4
"Jan 04, 2021",1946.6
"Jan 01, 2021",1901.6
"Dec 31, 2020",1895.1
"Dec 30, 2020",1893.4
"Dec 29, 2020",1882.9
"Dec 28, 2020",1880.4
"Dec 24, 2020",1883.2
"Dec 23, 2020",1878.1
"Dec 22, 2020",1870.3
"Dec 21, 2020",1882.8
"Dec 18, 2020",1888.9
"Dec 17, 2020",1890.4
"Dec 16, 2020",1859.1
"Dec 15, 2020",1855.3
"Dec 14, 2020",1832.1
"Dec 11, 2020",1843.6
"Dec 10, 2020",1837.4
"Dec 09, 2020",1838.5
"Dec 08, 2020",1874.9
"Dec 07, 2020",1866
"Dec 04, 2020",1840
"Dec 03, 2020",1841.1
"Dec 02, 2020",1830.2
"Dec 01, 2020",1818.9
"Nov 30, 2020",1780.9
"Nov 27, 2020",1788.1
"Nov 26, 2020",1807
"Nov 25, 2020",1811.2
"Nov 24, 2020",1810.9
"Nov 23, 2020",1837.8
"Nov 20, 2020",1872.4
"Nov 19, 2020",1861.5
"Nov 18, 2020",1873.9
"Nov 17, 2020",1885.1
"Nov 16, 2020",1887.8
"Nov 13, 2020",1886.2
"Nov 12, 2020",1873.3
"Nov 11, 2020",1861.6
"Nov 10, 2020",1876.4
"Nov 09, 2020",1854.4
"Nov 06, 2020",1951.7
"Nov 05, 2020",1946.8
"Nov 04, 2020",1896.2
"Nov 03, 2020",1910.4
"Nov 02, 2020",1892.5
"Oct 30, 2020",1879.9
"Oct 29, 2020",1868
"Oct 28, 2020",1879.2
"Oct 27, 2020",1911.9
"Oct 26, 2020",1905.7
"Oct 23, 2020",1905.2
"Oct 22, 2020",1904.6
"Oct 21, 2020",1929.5
"Oct 20, 2020",1915.4
"Oct 19, 2020",1911.7
"Oct 16, 2020",1906.4
"Oct 15, 2020",1908.9
"Oct 14, 2020",1907.3
"Oct 13, 2020",1894.6
"Oct 12, 2020",1928.9
"Oct 09, 2020",1926.2
"Oct 08, 2020",1895.1
"Oct 07, 2020",1890.8
"Oct 06, 2020",1908.8
"Oct 05, 2020",1920.1
"Oct 02, 2020",1907.6
"Oct 01, 2020",1916.3
"Sep 30, 2020",1895.5
"Sep 29, 2020",1903.2
"Sep 28, 2020",1882.3
"Sep 25, 2020",1866.3
"Sep 24, 2020",1876.9
"Sep 23, 2020",1868.4
"Sep 22, 2020",1907.6
"Sep 21, 2020",1910.6
"Sep 18, 2020",1962.1
"Sep 17, 2020",1949.9
"Sep 16, 2020",1970.5
"Sep 15, 2020",1966.2
"Sep 14, 2020",1963.7
"Sep 11, 2020",1947.9
"Sep 10, 2020",1964.3
"Sep 09, 2020",1954.9
"Sep 08, 2020",1943.2
"Sep 07, 2020",1937.1
"Sep 06, 2020",1940.65
"Sep 04, 2020",1934.3
"Sep 03, 2020",1937.8
"Sep 02, 2020",1944.7
"Sep 01, 2020",1978.9
"Aug 31, 2020",1978.6
"Aug 28, 2020",1974.9
"Aug 27, 2020",1932.6
"Aug 26, 2020",1952.5
"Aug 25, 2020",1923.1
"Aug 24, 2020",1939.2
"Aug 21, 2020",1947
"Aug 20, 2020",1946.5
"Aug 19, 2020",1970.3
"Aug 18, 2020",2013.1
"Aug 17, 2020",1998.7
"Aug 14, 2020",1949.8
"Aug 13, 2020",1970.4
"Aug 12, 2020",1949
"Aug 11, 2020",1946.3
"Aug 10, 2020",2039.7
"Aug 07, 2020",2028
"Aug 06, 2020",2069.4
"Aug 05, 2020",2049.3
"Aug 04, 2020",2021
"Aug 03, 2020",1986.3
"Jul 31, 2020",1985.9
"Jul 30, 2020",1966.8
"Jul 29, 2020",1976.7
"Jul 28, 2020",1963.9
"Jul 27, 2020",1955.4
"Jul 24, 2020",1925.2
"Jul 23, 2020",1917.4
"Jul 22, 2020",1892.6
"Jul 21, 2020",1869.6
"Jul 20, 2020",1840.1
"Jul 17, 2020",1833.7
"Jul 16, 2020",1826.5
"Jul 15, 2020",1841.6
"Jul 14, 2020",1841.5
"Jul 13, 2020",1843.7
"Jul 10, 2020",1831.3
"Jul 09, 2020",1833.5
"Jul 08, 2020",1850.6
"Jul 07, 2020",1834.3
"Jul 06, 2020",1816.1
"Jul 03, 2020",1787.6
"Jul 02, 2020",1812
"Jul 01, 2020",1801.9
