Date,Price
"Mar 12, 2021",1.611
"Mar 11, 2021",1.535
"Mar 10, 2021",1.521
"Mar 09, 2021",1.528
"Mar 08, 2021",1.603
"Mar 07, 2021",1.599
"Mar 05, 2021",1.577
"Mar 04, 2021",1.557
"Mar 03, 2021",1.484
"Mar 02, 2021",1.398
"Mar 01, 2021",1.426
"Feb 28, 2021",1.395
"Feb 26, 2021",1.407
"Feb 25, 2021",1.53
"Feb 24, 2021",1.372
"Feb 23, 2021",1.343
"Feb 22, 2021",1.369
"Feb 21, 2021",1.362
"Feb 19, 2021",1.34
"Feb 18, 2021",1.297
"Feb 17, 2021",1.282
"Feb 16, 2021",1.311
"Feb 15, 2021",1.25
"Feb 12, 2021",1.21
"Feb 11, 2021",1.165
"Feb 10, 2021",1.124
"Feb 09, 2021",1.16
"Feb 08, 2021",1.176
"Feb 07, 2021",1.174
"Feb 05, 2021",1.169
"Feb 04, 2021",1.136
"Feb 03, 2021",1.139
"Feb 02, 2021",1.095
"Feb 01, 2021",1.079
"Jan 31, 2021",1.071
"Jan 29, 2021",1.071
"Jan 28, 2021",1.052
"Jan 27, 2021",1.013
"Jan 26, 2021",1.033
"Jan 25, 2021",1.033
"Jan 24, 2021",1.096
"Jan 22, 2021",1.086
"Jan 21, 2021",1.109
"Jan 20, 2021",1.077
"Jan 19, 2021",1.092
"Jan 18, 2021",1.1
"Jan 15, 2021",1.087
"Jan 14, 2021",1.129
"Jan 13, 2021",1.092
"Jan 12, 2021",1.129
"Jan 11, 2021",1.144
"Jan 10, 2021",1.119
"Jan 08, 2021",1.119
"Jan 07, 2021",1.081
"Jan 06, 2021",1.039
"Jan 05, 2021",0.955
"Jan 04, 2021",0.918
"Jan 03, 2021",0.93
"Dec 31, 2020",0.916
"Dec 30, 2020",0.926
"Dec 29, 2020",0.94
"Dec 28, 2020",0.923
"Dec 27, 2020",0.938
"Dec 24, 2020",0.926
"Dec 23, 2020",0.945
"Dec 22, 2020",0.921
"Dec 21, 2020",0.938
"Dec 20, 2020",0.938
"Dec 18, 2020",0.945
"Dec 17, 2020",0.935
"Dec 16, 2020",0.92
"Dec 15, 2020",0.911
"Dec 14, 2020",0.898
"Dec 13, 2020",0.91
"Dec 11, 2020",0.896
"Dec 10, 2020",0.906
"Dec 09, 2020",0.938
"Dec 08, 2020",0.921
"Dec 07, 2020",0.928
"Dec 04, 2020",0.973
"Dec 03, 2020",0.911
"Dec 02, 2020",0.938
"Dec 01, 2020",0.929
"Nov 30, 2020",0.842
"Nov 29, 2020",0.844
"Nov 27, 2020",0.842
"Nov 26, 2020",0.859
"Nov 25, 2020",0.882
"Nov 24, 2020",0.885
"Nov 23, 2020",0.859
"Nov 22, 2020",0.824
"Nov 20, 2020",0.824
"Nov 19, 2020",0.842
"Nov 18, 2020",0.87
"Nov 17, 2020",0.862
"Nov 16, 2020",0.911
"Nov 15, 2020",0.901
"Nov 13, 2020",0.898
"Nov 12, 2020",0.883
"Nov 11, 2020",0.977
"Nov 10, 2020",0.96
"Nov 09, 2020",0.924
"Nov 08, 2020",0.83
"Nov 06, 2020",0.82
"Nov 05, 2020",0.766
"Nov 04, 2020",0.771
"Nov 03, 2020",0.896
"Nov 02, 2020",0.852
"Nov 01, 2020",0.859
"Oct 30, 2020",0.874
"Oct 29, 2020",0.831
"Oct 28, 2020",0.774
"Oct 27, 2020",0.771
"Oct 26, 2020",0.803
"Oct 23, 2020",0.841
"Oct 22, 2020",0.861
"Oct 21, 2020",0.821
"Oct 20, 2020",0.786
"Oct 19, 2020",0.772
